sentence,target_bigram,difficulty
rank brand anecdote tan fancy announce france announcement hand rang,an,4
dandy plan outstanding analogy sang anthem span clank antenna glance,an,4
fantasyland phantasmagoria anesthesia answer anatomy anguish blanket annihilation,an,4
realm reel reap rest read ire ere reef rev red,re,0
rend react reed ream rep rear rely rent,re,0
rent reek ref rest rep ire real reef,re,0
reek ire ref rep reel rely read rend,re,0
ore reel rep read realm reap ire reed reek,re,0
ore react ref red reek rent ream ere are rend,re,0
ref ire reek realm rent real are ream rely,re,0
rend rent realm ref reed reap red rep,re,0
reek rear rep ref rely rend are ire ream real,re,0
realm rev reef ere reek rear rent rep are,re,0
rent ref brew creed are rely trek red,re,1
grew breed rend crew dream rest prey rear ream tree,re,1
freak react trend reap free three rep reed realm,re,1
reel reef greed fresh ore real bread reek rev,re,1
greed breed are react rest prey trend reel bread,re,1
rent tree reach dream ire reef read breed ere reed,re,1
rely freak read breed ire reek rep rest,re,1
reed red ore ire read are tree breed trend,re,1
are tree dream realm rev ore freak rest rely reel,re,1
ref rent bread tree creek trend ere are rev,re,1
brew remark ream fresh credit real foresee tree,re,2
free breach read forest reply creed remit rest ire,re,2
repel create threw remind grew ore rend retire crew react,re,2
breed reed freeze ref preach repent trend reek degree,re,2
bread stream reach reef three realm rear agree treaty,re,2
are prey rent foretold reap dream repay report,re,2
greed creek reel spread forearm rely red shrew ere freak,re,2
freak bread ref free rear forest remind ream,re,2
stream remit fresh ere grey thread grease reply foresee,re,2
trek freak degree preach react repay ere stream reed thread,re,2
rent shrew read freak reinterpret reap freeze preach forest threw,re,3
reinstate crew recollect stream create retrieve repay breach,re,3
credit spread foretold rest redistribute reactivate creek creed,re,3
reel report red recharge rev breed remit redecorate ore,re,3
tree fresh greed degree trend precarious prey prestige resource,re,3
realm reclaim forearm grey reassemble ere reestablish ream,re,3
ire repel recreate renovate reorient represent reorganize brew react free,re,3
grew dream foresee reconcile regenerate reply reef restructure,re,3
retire thread rend trek repent are agree reproduce,re,3
rep reinvent reek real remind remark treaty rearrange ref,re,3
resource trend are rep rent prestige creek reinvent reintegration,re,4
reel rest reassemble foretold redistribute ore reforestation revolutionary,re,4
referendum stream recollect grew remit regeneration recreate reorient,re,4
reactivate freeze treaty realm reestablish shrew rely reorientation remind,re,4
represent reclaim renovate remuneration reinvigoration trek retrospectively revitalization reinforce reservoir,re,4
repay rear forearm read reconstruction bread reconfiguration refrigeration three reintegrate,re,4
ere reek rev representative breach refrigerate react foresee rearrange,re,4
renationalization reed representation redecorate spread redistribution report reef threw reach,re,4
creed reinterpret reproduce reply red repent tree degree real restructure,re,4
reap reconciliation crew reconcile fresh prey repel freak,re,4
prone cone phone pond con tone lone done non,on,0
clone fond drone won on eon gone ton,on,0
song zone gong don ion hone shone bone stone long,on,0
bone eon done fond zone shone ton tone,on,0
eon cone drone won ion hone prone lone long son,on,0
clone son drone ton hone won con eon none,on,0
fond hone lone on phone gone eon shone,on,0
hone done long gone clone ion tone shone on,on,0
pond phone stone hone ion none ton gone bone,on,0
cone ion clone phone bond pond son won,on,0
cone common cotton won fond gone option onto don,on,1
eon convoy condone onward bone song stone money bond only,on,1
ton con son onset prone ion zone contain non on,on,1
onwards control done ozone onyx shone gong console phone,on,1
ongoing long drone lone once pond honey onerous none,on,1
option hone onwards shone onward con online none only gong,on,1
condone online ion onward bone onto tone don,on,1
control ozone drone none son prone onward condone eon bond,on,1
onto con won online onerous cotton pond hone non,on,1
non ton on ozone son only gong onset onward,on,1
on contain reason gone upon season onset ton,on,2
control pond bone cone button won long con cotton,on,2
onward tone prone poison drone non console eon,on,2
stone patron ozone fond son money done bison second lesson,on,2
onto respond crayon icon phenomenon common canyon onyx convoy,on,2
honey option none python person song online beyond,on,2
onwards hone bond once clone lone salon shone ongoing don,on,2
ton lone gone icon on bison non phenomenon upon onward,on,2
onerous only ion condone neon gong zone phone,on,2
bond tone gong onwards onto eon onset phenomenon honey,on,2
won corporation canyon convention promotion confusion consolidation communication bond zone,on,3
correction person son non drone python conversation shone consideration,on,3
reason online onset button none once compassion eon common,on,3
control phone ozone opinion don neon only condition continuation,on,3
solution connection patron console long lone honey hone,on,3
combination emotion convoy contamination bone gone ton confirmation ion,on,3
lesson cone phenomenon collection ongoing done fond onward onyx,on,3
upon motivation pond cotton salon money formation crayon onwards poison,on,3
construction prone option respond stone devotion bison clone competition,on,3
confrontation onerous cooperation season song on tone con celebration,on,3
confrontational option don season devotion reason only computational tone,on,4
long contamination money done construction motivation ton emotion onwards donation,on,4
shone once icon honey cone won eon condition communication,on,4
button condone conflagration salon confrontation promotion connective upon none,on,4
cotton stone phenomenon connection consideration confirmation lone gong,on,4
corporation poison constitutional congregational console opinion conscientious contentious conglomerate,on,4
conservational onward onset combination continuation compassion respond onyx,on,4
drone neon cooperation competition promotional condescension collection hone prone,on,4
consumption celebration organizational consternation motivational pond non bison lesson ion,on,4
person onto emotional contemplation confusion ongoing clone conglomeration conversation,on,4
brat match vat at chat sat catch pat rat atlas,at,0
stat attack gnat flat slat hatch bat mat,at,0
watch what batch latch patch that fat scat cat,at,0
match bat scat mat patch latch cat at rat brat,at,0
attic slat catch flat hat what at plat batch bat,at,0
sat attic rat slat atlas catch pat hatch batch,at,0
scat bat match attack gnat vat that at latch plat,at,0
catch flat atlas that at attic pat what hat hatch,at,0
match atlas stat catch at rat scat cat,at,0
hatch sat attack stat what bat chat that rat watch,at,0
watch natter that patch batter flatten pat vat sat,at,1
flat tattle hat matter at catch batch chat,at,1
cattle plat attach fatter rattle brat what scat stat atlas,at,1
hatter cat tatter slat gnat fatten hatch mat bat,at,1
gnat latter that hat patter brat plat stat batch attic,at,1
watch fatter brat hat plat mat sat atlas attach,at,1
cat batter scat fat mat fatter bat rattle stat,at,1
scat cattle battle patch fatten attic hatter rat,at,1
matter hatter rattle plat tattle what natter scat patter,at,1
batch gnat vat batter atlas attach flat mat chat fat,at,1
scat atlas batch national tattle attach that at nature,at,2
pat hatch attic sat latch narrative flatten rattle,at,2
slat fat battle latter attack native batter matter gnat nationally,at,2
stat cat educate rotate ornate patter patch mat,at,2
tatter elaborate chat saturate fatten culminate donate hatter,at,2
fatter pirate plat relate vat calculate natter celebrate inflate cattle,at,2
match negate nation annotate create operate hat estimate,at,2
what deflate bat rat locate brat debate flat update natural,at,2
rattle mat inflate native battle locate nature natter cat batch,at,2
elaborate attack brat atlas at flatten attach flat,at,2
cat donate fat inflate natter gnat natural celebrate cattle fascinate,at,3
annotate negate flatten patter rat flat tatter latter exaggerate concentrate,at,3
educate fatten evaluate innovate calculate stat latch vat narrative,at,3
operate rattle debate congratulate associate batch fatter elaborate integrate contaminate,at,3
communicate elevate athletic native scat battle devastate plat deflate sat,at,3
that national attach mat match saturate nature bat,at,3
attack nationally at pat locate nation rotate chat tattle brat,at,3
motivate culminate batter generate relate slat collaborate articulate hat attic,at,3
modulate matter hatter create hatch watch ornate estimate atmospheric,at,3
pirate catch categorical atlas what illuminate update orchestrate patch evacuate,at,3
tattle orchestrate illuminate devastate athletic bat cat patter fatten,at,4
atlas elevate dramatically educationally estimate mathematically relate innovate,at,4
annotate nation educate elaborate recreationally attic statistically fascinate materially,at,4
deflate brat inflate stat watch operationally associate latch,at,4
rotate chat natter evacuate national internationally fat emphatically exaggerate debate,at,4
communicate match articulate automatically slat integrate cattle diplomatically laterally,at,4
negate at congratulate categorical culminate atmospherically batch calculate,at,4
systematically categorically generate what update atmospheric flatten batter locate,at,4
naturally sat hatter mat rattle hatch vat plat,at,4
grammatically attach matter nature contaminate saturate pragmatically fatter motivate create,at,4
send oven end lent rent wren ten hen den cent,en,0
ken went when mend pen zen tend fend rend open,en,0
dent men vent gent lend bend then glen even,en,0
vent ken glen hen yen lend dent rend tend,en,0
rend men tend fend cent ten open hen then,en,0
ken lent when oven then den ten rent,en,0
then dent mend when send men glen gent zen,en,0
men den rent even zen rend glen lend,en,0
den ten bend pen yen zen send when wren vent,en,0
dent ken when went yen mend even den ten,en,0
send engage enter entire men talent enlist rent,en,1
yen rend center linen tend depend pen enact token enjoy,en,1
even lent went mentor end ripen gent envy,en,1
lenient enough ken dent endear engine wren cent den oven,en,1
vent fend given mend fatten open bend hen ten then,en,1
woken extend lessen raven zen lend prevent glen encircle,en,1
enable fend endear entire given talent open lenient prevent,en,1
enable token engine extend men vent end prevent den lent,en,1
engine enlist bend gent dent rend talent lend,en,1
send then yen linen lenient men ten glen rend,en,1
enough enjoy open slender dental pen went intend,en,2
wren friend dent glen fend lend then envy when zen,en,2
trend token offend mentor depend seven central ken bend render,en,2
fiend center end engine blender enable encircle den cement,en,2
prevent talent ten ripen enter vent tend oven lenient contend,en,2
fatten sender enact even raven yen gent tender spend send,en,2
lent entered blend lessen pretend mend event ascend,en,2
extend endear rend linen rental rent men scented,en,2
venture woken entire engage gentle enlist defend cent mental,en,2
yen mend mentor lent raven end blender fend central cent,en,2
rend send enjoy gent environment token endowment fend enlightened wren,en,3
amendment spend entertainment sender center glen envy depend enterprise,en,3
then enrollment mend mental tend slender encircle entered,en,3
cent engagement ascend gender given cement blend event,en,3
entirety endear intend ripen trend essential oven lend enable,en,3
mentor open dent vent tendency defend strengthen offend fatten seven,en,3
raven pen enough zen lent extend woken rent enhancement enlightenment,en,3
scented surrender rental blender enthusiasm engage engine contend,en,3
ten enveloping ken eventually dental fiend lenient gentle den enact,en,3
sentence end tender enforcement even men lessen entire enter,en,3
ken glen dent lent hen ripen entirety extensive,en,4
bend surrender intensely enable amendment seven tender instrumentally,en,4
rent consistently gent event incidentally potentially den talent engage,en,4
friend encircle fatten fiend mend tendency enact incrementally pretend,en,4
woken entertainment environment sender entrepreneurially entangle defend tend,en,4
strengthen phenomenologically comprehensively then rental subsequently vent enhancement blender,en,4
ten venture entrance mental end linen pen enjoy rend envy,en,4
yen cent tremendously whenever enrollment fend intend environmentally encouragement,en,4
offend blend enveloping enlightened essentially slender entrepreneur eventually raven,en,4
went sentence engagement endear gender token send engine gentle,en,4
brand grand band mind bound kind lend land,nd,0
bond spend trend found sand end hand blend,nd,0
wind fond send bind and stand bend bland round,nd,0
found spend find wind land send brand end fond blend,nd,0
bond spend hand sound round find bind grind,nd,0
bland bound stand gland bind brand kind lend spend and,nd,0
find mind bend trend bound and hand gland spend,nd,0
sand bland round find spend kind band mind bond,nd,0
find round band bend and mind grind blend,nd,0
bland mind sand round grind kind brand grand,nd,0
rounds spends found lands band fond fends grand,nd,1
bounds blends stands bland trend sounds rends find,nd,1
kinds tends send india under grind indie wind lend bands,nd,1
stand round hand trends ends grinds kind founds land grands,nd,1
gland bend blend sand bond hands and mind,nd,1
spend end sound mends minds brand winds indigo,nd,1
wind gland band ends indie mends and land minds bands,nd,1
hand blends india trends blend winds indie find spends,nd,1
kind lends grand ends lend rends sounds bends grands round,nd,1
kinds kind ends index spends bound hands rounds,nd,1
and wander indigo blends vandalise end mends bands,nd,2
tends trend mandatory plunder indie spends candor sound,nd,2
bond find gland hand lend band laundry india finds,nd,2
pander grand grind trends wonder bundle foundry tandem boundary send,nd,2
bland wind sends bound index bounds bend founds kind bends,nd,2
kinds stand random rends land brand sounds blend,nd,2
grinds candle sand found under squander lands meander sandalwood render,nd,2
round beyond thunder winds grands ends blunder lends,nd,2
landscape handle hands rounds vendor mind spend stands bind standardize,nd,2
trend fond gland pander candid sand find minds,nd,2
trends plunder mandate candidate bounds wanderer conduct grinds,nd,3
kinds roundabout land independent android candle commander fond tandem,nd,3
thunder sounds ends lands pander bandwidth sound standard beyond,nd,3
hand bound bind trend handle rounds groundwork vandalise squander,nd,3
handler chandelier rends under kind random bland abandon bond and,nd,3
foundling stands meander stand render wonder indie foundry round,nd,3
standpoint bend mandatory grandmaster bands vendor founds end,nd,3
pending found handwriting candor sends spend fundamental rending outstanding wander,nd,3
gland minds grind blend tends boundary sand sandalwood bends grands,nd,3
send handshake brand blends bandstand finds standardize bundle lends mends,nd,3
thunder rends stands tandem laundry sends squander standoffish hand,nd,4
wonderful indigo render grandiose spend kind meander laundromat wander tends,nd,4
grandfather hands blends lands bounds grandmaster bandwidth random,nd,4
friendship chandelier command grinds handler sandalwood foundry round wind,nd,4
under finds rending mends handle android mind abandon,nd,4
grand india lends wanderlust standard bind and lending sandstorm minds,nd,4
independently founds bandmaster candidate kinds grandmother candlestick winds bond land,nd,4
find independent grind brand understanding scandal send boundless landscape sounds,nd,4
commander foundling pending pandemonium band stand bland foundational standardize,nd,4
candid mandate boundary fundamental grands commandingly bands bound standpoint,nd,4
till tithe tide tint tidal time tilt timid tile tin,ti,0
tiger tie titan tick tiny tire tissue tip title tipsy,ti,0
tin tipsy tile tie till tithe tick tint tide tire,ti,0
titan tiny tint tilt tick tissue tin tip tipsy,ti,0
tipsy tithe tile tiger tilt tint tick tidal,ti,0
tissue tidal tire time tip tithe tiger till tipsy tile,ti,0
titan time till tile tiger tin tilt tip,ti,0
tide tidal tiny tiger tile tick tin title tip,ti,0
tipsy tint tip tiger timid tie time tiny tile tin,ti,0
tithe tire till titan title tipsy tin tide tilt tip,ti,0
tieing tiny tiptoe tie tinsel till tipping tip ticking tinker,ti,1
tirade tithe tiling tiding titular timing timber tipsy timely tissue,ti,1
tint titan tilt time tinting tiger tidal tin,ti,1
timid tilting title tinning tick tile tide tire tiring,ti,1
tipping ticket tiling tipsy title tirade timely timid tile timber,ti,1
tiptoe time tiring tiling ticket tin tissue tinsel,ti,1
timing tinker tick tirade tissue ticket tinting title till tiling,ti,1
tiring tile tinsel tire time tie tiding timid timing,ti,1
tip title timid tilt ticket tint tipping tilting timing tirade,ti,1
title ticket tint tire till timely tirade timing tide tilt,ti,1
tint fiction title tiring tissue tip option tilting,ti,2
ticket tidal time timely timid titan tirade station,ti,2
tiling ration timing tiptoe action till motion titular reaction,ti,2
tie tire notion fraction faction ticking tinker tide,ti,2
nation portion tiding tithe tinsel tile tipsy tick,ti,2
tieing tiger tipping caution mention tilt caption tiny tin,ti,2
tick action caption tiger mention tide timid tint,ti,2
ration motion tirade tick timid tiger titan tie,ti,2
tidal portion tint mention ration title tiding nation titular,ti,2
tire tilting tipping timely tiny tieing time ticket tiring,ti,2
estimation tile tiger limitation tiring tithe repetition tinker,ti,3
position tissue notion ticking coalition timber till station,ti,3
tiptoe tieing action option caution time ambition tin condition,ti,3
validation tiling description situation ration motion tirade tide tilt exhibition,ti,3
tiny tick tiding ticket tradition tip caption competition,ti,3
timid portion titan tint partition tipping titular title fiction,ti,3
timely tidal motivation fraction tire imagination nation tilting timing institution,ti,3
reaction nutrition section invitation faction tinting tipsy tinsel tinning,ti,3
validation section ration ambition attention timing tilt tilting,ti,3
tiny caution ticket imagination condition till portion tinker,ti,3
recommendation ambition tipping ration continuation partition motion cooperation tradition,ti,4
titan section nutrition collaboration situation tirade condition tide,ti,4
position determination repetition tinsel faction administration option organization timber differentiation,ti,4
invitation tiptoe tint action investigation station mention rationalization,ti,4
reaction tinker ticket interpretation timely ticking tissue tinning fraction,ti,4
tick motivation tiny demonstration timing coalition tiding fiction transformation tiling,ti,4
administrative caution tie estimation caption tile description tilting,ti,4
titular tin title timid initiative attention tire exhibition qualification,ti,4
tinting till portion tilt tiger tieing tithe communication representative time,ti,4
tiring capitalization limitation tidal imagination validation nation notion institution,ti,4
chest best less flesh press vest quest these test dress,es,0
west yes rest crest fresh pest guess mess,es,0
test rest guess best vest bless yes fresh west,es,0
west test vest dress press rest yes crest bless,es,0
press crest chest these west fresh test bless flesh,es,0
chest fresh jest less mess test bless press guess,es,0
guess vest mess these test best fresh less crest bless,es,0
fresh guess best dress yes press flesh vest,es,0
these less crest rest vest dress yes flesh fresh,es,0
crest these press flesh dress quest vest less,es,0
